2011-12-18 12:15:57 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 12:16:34 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 12:16:41 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 12:16:50 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 12:17:13 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 12:17:33 Notice: Notice (8): Undefined index: school_id in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 18]
2011-12-18 13:30:58 Notice: Notice (8): Undefined index: jobtype in [/Applications/MAMP/htdocs/ars/app/views/teachers/paginatedview.ctp, line 44]
2011-12-18 13:31:42 Notice: Notice (8): Undefined index: jobtype in [/Applications/MAMP/htdocs/ars/app/views/teachers/paginatedview.ctp, line 44]
2011-12-18 13:32:04 Notice: Notice (8): Undefined index: jobtype in [/Applications/MAMP/htdocs/ars/app/views/teachers/paginatedview.ctp, line 44]
2011-12-18 18:11:31 Notice: Notice (8): Undefined property: TeachersController::$Jobtype in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 44]
2011-12-18 18:12:47 Notice: Notice (8): Undefined variable: jobtypeData in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 18:12:47 Notice: Notice (8): Undefined index: before in [/Applications/MAMP/htdocs/ars/cake/libs/view/helpers/form.php, line 862]
2011-12-18 18:12:47 Notice: Notice (8): Undefined index: between in [/Applications/MAMP/htdocs/ars/cake/libs/view/helpers/form.php, line 862]
2011-12-18 18:12:47 Notice: Notice (8): Undefined index: after in [/Applications/MAMP/htdocs/ars/cake/libs/view/helpers/form.php, line 862]
2011-12-18 18:12:47 Notice: Notice (8): Undefined index: format in [/Applications/MAMP/htdocs/ars/cake/libs/view/helpers/form.php, line 865]
2011-12-18 18:13:13 Notice: Notice (8): Undefined variable: jobtypeData in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 22:29:19 Notice: Notice (8): Undefined variable: jobtypeData in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 22:31:52 Notice: Notice (8): Undefined variable: jobtypeData in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 22:31:53 Notice: Notice (8): Undefined variable: jobtypeData in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 22:31:53 Notice: Notice (8): Undefined variable: jobtypeData in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 22:31:54 Notice: Notice (8): Undefined variable: jobtypeData in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 22:31:54 Notice: Notice (8): Undefined variable: jobtypeData in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 22:31:54 Notice: Notice (8): Undefined variable: jobtypeData in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 22:38:58 Notice: Notice (8): Undefined variable: jobtypeData in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 22:39:44 Notice: Notice (8): Undefined variable: jobtypeData in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 22:43:00 Notice: Notice (8): Undefined index: dob in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 19]
2011-12-18 22:43:00 Notice: Notice (8): Undefined index: dojp in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 20]
2011-12-18 22:43:00 Notice: Notice (8): Undefined index: dojs in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 21]
2011-12-18 22:43:20 Notice: Notice (8): Undefined index: dob in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 19]
2011-12-18 22:43:20 Notice: Notice (8): Undefined index: dojp in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 20]
2011-12-18 22:43:20 Notice: Notice (8): Undefined index: dojs in [/Applications/MAMP/htdocs/ars/app/controllers/teachers/teachers_controller.php, line 21]
2011-12-18 22:43:20 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ars/cake/libs/model/datasources/dbo_source.php, line 747]
2011-12-18 22:52:24 Notice: Notice (8): Undefined variable: job in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-18 22:52:24 Notice: Notice (8): Undefined index: before in [/Applications/MAMP/htdocs/ars/cake/libs/view/helpers/form.php, line 862]
2011-12-18 22:52:24 Notice: Notice (8): Undefined index: between in [/Applications/MAMP/htdocs/ars/cake/libs/view/helpers/form.php, line 862]
2011-12-18 22:52:24 Notice: Notice (8): Undefined index: after in [/Applications/MAMP/htdocs/ars/cake/libs/view/helpers/form.php, line 862]
2011-12-18 22:52:24 Notice: Notice (8): Undefined index: format in [/Applications/MAMP/htdocs/ars/cake/libs/view/helpers/form.php, line 865]
2011-12-24 17:33:12 Notice: Notice (8): Undefined variable: jobtype in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-24 17:39:41 Notice: Notice (8): Undefined variable: jobtype in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-24 17:40:28 Notice: Notice (8): Undefined variable: jobtype in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-24 18:32:12 Notice: Notice (8): Undefined variable: jobtype in [/Applications/MAMP/htdocs/ars/app/views/elements/teachers/add_edit.ctp, line 12]
2011-12-25 09:54:13 Notice: Notice (8): Undefined property: StudentsController::$RequestHandler in [/Applications/MAMP/htdocs/ars/app/controllers/students/students_controller.php, line 23]
2011-12-25 09:57:41 Notice: Notice (8): Undefined index: pcn in [/Applications/MAMP/htdocs/ars/app/views/students/paginatedview.ctp, line 39]
2011-12-25 09:57:41 Notice: Notice (8): Undefined index: dojp in [/Applications/MAMP/htdocs/ars/app/views/students/paginatedview.ctp, line 40]
2011-12-25 09:57:41 Notice: Notice (8): Undefined index: dojs in [/Applications/MAMP/htdocs/ars/app/views/students/paginatedview.ctp, line 41]
2011-12-25 09:57:41 Notice: Notice (8): Undefined index: eq in [/Applications/MAMP/htdocs/ars/app/views/students/paginatedview.ctp, line 43]
2011-12-25 09:57:41 Notice: Notice (8): Undefined index: Jobtype in [/Applications/MAMP/htdocs/ars/app/views/students/paginatedview.ctp, line 44]
2011-12-25 10:02:11 Notice: Notice (8): Undefined index: pcn in [/Applications/MAMP/htdocs/ars/app/views/students/paginatedview.ctp, line 38]
2011-12-25 10:02:11 Notice: Notice (8): Undefined index: dojp in [/Applications/MAMP/htdocs/ars/app/views/students/paginatedview.ctp, line 39]
2011-12-25 10:02:11 Notice: Notice (8): Undefined index: dojs in [/Applications/MAMP/htdocs/ars/app/views/students/paginatedview.ctp, line 40]
2011-12-25 10:02:11 Notice: Notice (8): Undefined index: eq in [/Applications/MAMP/htdocs/ars/app/views/students/paginatedview.ctp, line 42]
2011-12-25 10:02:11 Notice: Notice (8): Undefined index: Jobtype in [/Applications/MAMP/htdocs/ars/app/views/students/paginatedview.ctp, line 43]
2011-12-25 12:36:41 Notice: Notice (8): Undefined index: Teacher in [/Applications/MAMP/htdocs/ars/app/controllers/students/students_controller.php, line 32]
2011-12-25 12:37:04 Notice: Notice (8): Undefined index: Teacher in [/Applications/MAMP/htdocs/ars/app/controllers/students/students_controller.php, line 32]
2012-01-01 01:54:37 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:05 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:21 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:29 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:30 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:30 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:30 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:30 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:31 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:31 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:31 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:31 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:32 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:32 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:32 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:33 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:55:58 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/index.ctp, line 11]
2012-01-01 01:58:03 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:00:28 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:13 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:13 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:13 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:14 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:14 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:14 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:14 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:14 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:15 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:15 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:15 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:15 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:15 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:15 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:16 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:01:40 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 11]
2012-01-01 02:03:01 Notice: Notice (8): Undefined variable: attendanceData in [/Applications/MAMP/htdocs/ars/app/views/attendances/index.ctp, line 2]
2012-01-01 02:06:09 Notice: Notice (8): Use of undefined constant date - assumed 'date' in [/Applications/MAMP/htdocs/ars/app/controllers/attendances/attendances_controller.php, line 21]
2012-01-01 03:06:40 Notice: Notice (8): Undefined property: SchoolsController::$Session in [/Applications/MAMP/htdocs/ars/app/controllers/schools/schools_controller.php, line 20]
2012-01-01 15:36:36 Notice: Notice (8): Undefined index: teacher_id in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/edit.ctp, line 26]
2012-01-01 15:36:36 Notice: Notice (8): Undefined variable: present in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/edit.ctp, line 26]
2012-01-01 15:36:36 Notice: Notice (8): Undefined index: teacher_id in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/edit.ctp, line 31]
2012-01-01 15:36:36 Notice: Notice (8): Undefined variable: present in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/edit.ctp, line 31]
2012-01-01 15:37:05 Notice: Notice (8): Undefined variable: present in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/edit.ctp, line 26]
2012-01-01 15:37:06 Notice: Notice (8): Undefined variable: present in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/edit.ctp, line 31]
2012-01-01 15:37:55 Notice: Notice (8): Undefined variable: present in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/edit.ctp, line 26]
2012-01-01 15:37:55 Notice: Notice (8): Undefined variable: radioOptions in [/Applications/MAMP/htdocs/ars/cake/libs/view/helpers/form.php, line 881]
2012-01-01 15:37:55 Notice: Notice (8): Undefined variable: present in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/edit.ctp, line 31]
2012-01-01 22:54:48 Notice: Notice (8): Undefined property: View::$param in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/edit.ctp, line 2]
2012-01-01 22:54:48 Notice: Notice (8): Undefined property: View::$param in [/Applications/MAMP/htdocs/ars/app/views/teacherattendances/edit.ctp, line 4]
2012-01-01 22:54:48 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ars/cake/libs/router.php, line 1599]
2012-01-01 22:55:41 Notice: Notice (8): Array to string conversion in [/Applications/MAMP/htdocs/ars/cake/libs/router.php, line 1599]
2012-01-02 22:58:50 Notice: Notice (8): Undefined property: StudentsController::$Section in [/Applications/MAMP/htdocs/ars/app/controllers/students/students_controller.php, line 123]
2012-01-02 22:59:54 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/ars/app/controllers/students/students_controller.php, line 124]
2012-01-02 23:23:30 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:25:29 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:25:29 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:25:30 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:25:30 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:25:31 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:25:31 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:25:31 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:25:32 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:25:32 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:25:32 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:25:32 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
2012-01-02 23:26:08 Notice: Notice (8): Undefined variable: studentAttendance in [/Applications/MAMP/htdocs/ars/app/views/studentattendances/add.ctp, line 16]
